Source,cluster
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,1
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,1
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Pro Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
Reg Media,0
