topic_int,topic_names,labels_layer,Source
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
6,wind farm,6: wind farm,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
6,wind farm,6: wind farm,Pro Media
7,renew energi,7: renew energi,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
5,north sea,5: north sea,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
6,wind farm,6: wind farm,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
0,energi island,0: energi island,Pro Media
5,north sea,5: north sea,Pro Media
5,north sea,5: north sea,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
5,north sea,5: north sea,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
5,north sea,5: north sea,Pro Media
8,municip council,8: municip council,Pro Media
2,wind turbin,2: wind turbin,Pro Media
8,municip council,8: municip council,Pro Media
2,wind turbin,2: wind turbin,Pro Media
5,north sea,5: north sea,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
2,wind turbin,2: wind turbin,Pro Media
5,north sea,5: north sea,Pro Media
2,wind turbin,2: wind turbin,Pro Media
8,municip council,8: municip council,Pro Media
5,north sea,5: north sea,Pro Media
2,wind turbin,2: wind turbin,Pro Media
5,north sea,5: north sea,Pro Media
0,energi island,0: energi island,Pro Media
8,municip council,8: municip council,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
0,energi island,0: energi island,Pro Media
2,wind turbin,2: wind turbin,Pro Media
4,energiø bornholm,4: energiø bornholm,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
5,north sea,5: north sea,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
6,wind farm,6: wind farm,Pro Media
5,north sea,5: north sea,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
5,north sea,5: north sea,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
5,north sea,5: north sea,Pro Media
2,wind turbin,2: wind turbin,Pro Media
5,north sea,5: north sea,Pro Media
5,north sea,5: north sea,Pro Media
