topic_int,topic_names,Source
0,offshor wind,Pro Media
4,north sea,Pro Media
4,north sea,Pro Media
3,offshor grid,Pro Media
4,north sea,Pro Media
4,north sea,Pro Media
0,offshor wind,Pro Media
4,north sea,Pro Media
6,renew energi,Pro Media
3,offshor grid,Pro Media
0,offshor wind,Pro Media
0,offshor wind,Pro Media
0,offshor wind,Pro Media
0,offshor wind,Pro Media
4,north sea,Pro Media
4,north sea,Pro Media
6,renew energi,Pro Media
6,renew energi,Pro Media
4,north sea,Pro Media
3,offshor grid,Pro Media
6,renew energi,Pro Media
0,offshor wind,Pro Media
0,offshor wind,Pro Media
4,north sea,Pro Media
4,north sea,Pro Media
0,offshor wind,Pro Media
7,social democraci,Pro Media
0,offshor wind,Pro Media
4,north sea,Pro Media
4,north sea,Pro Media
5,municip council,Pro Media
7,social democraci,Pro Media
0,offshor wind,Pro Media
0,offshor wind,Pro Media
4,north sea,Pro Media
0,offshor wind,Pro Media
4,north sea,Pro Media
4,north sea,Pro Media
4,north sea,Pro Media
4,north sea,Pro Media
7,social democraci,Pro Media
7,social democraci,Pro Media
4,north sea,Pro Media
0,offshor wind,Pro Media
6,renew energi,Pro Media
0,offshor wind,Pro Media
0,offshor wind,Pro Media
0,offshor wind,Pro Media
0,offshor wind,Pro Media
0,offshor wind,Pro Media
6,renew energi,Pro Media
0,offshor wind,Pro Media
0,offshor wind,Pro Media
4,north sea,Pro Media
2,energiø bornholm,Pro Media
3,offshor grid,Pro Media
4,north sea,Pro Media
0,offshor wind,Pro Media
4,north sea,Pro Media
4,north sea,Pro Media
6,renew energi,Pro Media
0,offshor wind,Pro Media
0,offshor wind,Pro Media
4,north sea,Pro Media
4,north sea,Pro Media
7,social democraci,Pro Media
4,north sea,Pro Media
0,offshor wind,Pro Media
0,offshor wind,Pro Media
6,renew energi,Pro Media
0,offshor wind,Pro Media
3,offshor grid,Pro Media
1,energi island,Pro Media
7,social democraci,Pro Media
9,wind farm,Pro Media
0,offshor wind,Pro Media
6,renew energi,Pro Media
4,north sea,Pro Media
2,energiø bornholm,Pro Media
2,energiø bornholm,Pro Media
4,north sea,Pro Media
0,offshor wind,Pro Media
6,renew energi,Pro Media
4,north sea,Pro Media
4,north sea,Pro Media
0,offshor wind,Pro Media
2,energiø bornholm,Pro Media
1,energi island,Pro Media
3,offshor grid,Pro Media
6,renew energi,Pro Media
0,offshor wind,Pro Media
6,renew energi,Pro Media
6,renew energi,Pro Media
0,offshor wind,Pro Media
6,renew energi,Pro Media
7,social democraci,Pro Media
6,renew energi,Pro Media
4,north sea,Pro Media
4,north sea,Pro Media
2,energiø bornholm,Pro Media
6,renew energi,Pro Media
6,renew energi,Pro Media
2,energiø bornholm,Pro Media
4,north sea,Pro Media
0,offshor wind,Pro Media
6,renew energi,Pro Media
4,north sea,Pro Media
4,north sea,Pro Media
0,offshor wind,Pro Media
3,offshor grid,Pro Media
2,energiø bornholm,Pro Media
4,north sea,Pro Media
4,north sea,Pro Media
2,energiø bornholm,Pro Media
2,energiø bornholm,Pro Media
2,energiø bornholm,Pro Media
6,renew energi,Pro Media
0,offshor wind,Pro Media
4,north sea,Pro Media
0,offshor wind,Pro Media
0,offshor wind,Pro Media
4,north sea,Pro Media
4,north sea,Pro Media
0,offshor wind,Pro Media
6,renew energi,Pro Media
4,north sea,Pro Media
4,north sea,Pro Media
8,abstract avail,Pro Media
