topic_int,topic_names,Source
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
