Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
Chen Y.; Liu B.; Pei X.; Wu H.; Zhou Y.; Xu Y.; Yang H.,"Chen, Yi (58872664100); Liu, Boxin (57433637800); Pei, Xingyu (57206464680); Wu, Hongyuan (58143634700); Zhou, Yuebin (55162805100); Xu, Yiliang (57191869174); Yang, Huan (50162858400)",58872664100; 57433637800; 57206464680; 58143634700; 55162805100; 57191869174; 50162858400,POWER COUPLING CHARACTERISTICS ANALYSIS OF GRID-FORMING INVERTER CONNECTED WITH DIODE RECTIFIER-BASED HVDC SYSTEM,2024,IET Conference Proceedings,2024,3,,188,195,7.0,0,10.1049/icp.2024.2156,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204313391&doi=10.1049%2ficp.2024.2156&partnerID=40&md5=1bf4f8b9105b81a32ef4252c80c0504a,"The diode rectifier (DR) based high voltage direct current (DR-HVDC) system has great potential for application in offshore wind energy transmission due to its relatively low cost and high reliability. To support the AC-side voltage of DR and regulate the transmission power, the grid forming control is widely equipped in the grid-side inverter of the offshore wind turbine (WT). However, the uncontrollable commutation dynamics of the DR introduce huge coupling effects between the active and reactive power at DR-HVDC, thus worsening the power regulation dynamics of offshore grid-forming inverters (GFI). This paper first proposes a small-signal model of the DR-HVDC system to intuitively and analytically characterize its power coupling effect. By combining the derived small-signal model of decoupling P/V-Q/f power-controlled GFI, the power coupling characteristics of the GFI-DR-HVDC system are quantitatively studied based on the relative gain array (RGA) theory. It is revealed that the increase of the proportional coefficient in the active power controller and the droop coefficient in the reactive power controller can both reduce the power coupling degree, but increasing the active power controller integral coefficient makes the power coupling degree rise. The simulation results validate the theoretical analysis. © The Institution of Engineering & Technology 2024.",DR-HVDC SYSTEM; GRID-FORMING INVERTER; POWER COUPLING; RGA THEORY; SMALL-SIGNAL ANALYSIS,Electric rectifiers; HVDC power transmission; Windmill; Coupling characteristic; Coupling effect; Diode rectifier; Diode rectifier-HVDC SYSTEM; GRID-FORMING INVERTER; HVDC systems; Power coupling; Relative gain array; Relative gain array THEORY; Small-signal analysis; Offshore wind turbines,Conference paper,Final,,Scopus,2-s2.0-85204313391
Yuan B.; Li X.; Yin C.; Liu R.,"Yuan, Bin (56678292700); Li, Xuan (58748481400); Yin, Congqi (56193654500); Liu, Ruitong (57191666176)",56678292700; 58748481400; 56193654500; 57191666176,Mechanism and Suppression Strategy of High-frequency Oscillation Caused by Integration of Islanded Renewable Energy Station into MMC-HVDC System; [孤 岛 新 能 源 场 站 接 入 柔 性 直 流 高 频 振 荡 机 理 及 抑 制 策 略],2023,Dianli Xitong Zidonghua/Automation of Electric Power Systems,47,4,,133,141,8.0,10,10.7500/AEPS20220128001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159785138&doi=10.7500%2fAEPS20220128001&partnerID=40&md5=07823f4f640dcbf46c7aecee7c74697e,"The high-frequency oscillation of large-scale renewable energy islanded transmission system through the modular multilevel converter based high voltage direct current (MMC-HVDC) system is increasingly prominent in recent projects. In this paper, a mathematical impedance model of MMC with different frequency-coupling characteristics is developed with consideration of the inner dynamic process of the primary main circuit equipment, control link delay, sequence component separation link, inner and outer loop control links. The mathematical model is simplified to determine the high-frequency oscillation mechanism caused by the integration of islanded renewable energy station into the MMC-HVDC system, which is that the control link delay, inner loop current feedback and voltage feedforward link format the high-frequency negative damping of the MMC-HVDC system. The key factors affecting the high-frequency impedance characteristics of the MMC are obtained. Based on the key factors, the suppression schemes of high-frequency oscillation caused by the integration of islanded renewable energy station into MMC-HVDC system are also suggested. The corresponding solutions have been verified in the PSCAD model and the high-frequency oscillation problem in the engineering sites of Zhangbei and Rudong renewable energy transmission projects of China through the MMC-HVDC system has been solved. © 2023 Automation of Electric Power Systems Press. All rights reserved.",control link delay; high-frequency oscillation; islanded renewable energy station; modular multilevel converter based high voltage direct current (MMC-HVDC) transmission; sequence component separation,Energy policy; HVDC power transmission; Power converters; Component separation; Control link delay; Direct current transmissions; Energy stations; High frequency oscillations; High-Voltage Direct Current; Islanded renewable energy station; Link delay; Modular multilevel converter based high voltage direct current  transmission; Modulars; Multilevel converter; Renewable energies; Sequence component separation; Sequence components; Delay circuits,Article,Final,,Scopus,2-s2.0-85159785138
Ma C.; Sun J.; Huang J.; Wang K.,"Ma, Chenghao (58569473000); Sun, Jiahang (58179217700); Huang, Jingguang (15046851600); Wang, Kaijie (58796007500)",58569473000; 58179217700; 15046851600; 58796007500,Transient Stability Enhancement Strategy for Islanded Microgrids Based on Energy Storage–Virtual Synchronous Machine Control,2023,Energies,16,17,6390,,,,7,10.3390/en16176390,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170384576&doi=10.3390%2fen16176390&partnerID=40&md5=2f43dac00682e9eaa7f413d8b5156d37,"In a high percentage of new energy-islanded microgrids, the overall inertia of the system gradually decreases, and the transient stability requirements of the microgrid frequency and voltage become more and more demanding under low-inertia conditions. To improve the transient stability of low-inertia islanded microgrid frequencies and voltages, this paper proposes a transient stability enhancement strategy for islanded microgrids based on energy storage system (ESS)–virtual synchronous generator (VSG) control. Model predictive control (MPC) is added within the active control loop of the VSG to achieve dynamic correction of the active power reference value of the VSG; PI control link is added within the reactive control loop to achieve a fast dynamic response of the reactive power command value. The ESS achieves fast and accurate regulation of frequency and voltage according to the power reference value of the VSG active control loop and the power command value of the reactive control loop simultaneously. Considering the need to ensure the ability of VSG to operate stably during transients, a comprehensive current-limiting technique combining virtual impedance and phase limiting is used to limit the fault current of VSG and maintain its synchronization and stability. Finally, the simulation results verify the strategy’s effectiveness and the superiority of the transient stability enhancement effect. © 2023 by the authors.",dynamic frequency–voltage control; energy storage system (ESS); islanded microgrid; transient stability; virtual synchronous generator (VSG),Closed loop control systems; Energy storage; Model predictive control; Power control; Predictive control systems; Reactive power; Synchronous generators; Transients; Virtual Power Plants; Voltage control; Active control; Control loop; Dynamic frequency; Dynamic frequency–voltage control; Energy storage system; Islanded microgrid; Reference values; Stability enhancement; Storage systems; Virtual synchronoi generator; Stability,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85170384576
Wang Q.,"Wang, Qingliang (58753862700)",58753862700,Meteorological hazard risk assessment of offshore wind power grids based on CVAR method,2023,Procedia Computer Science,224,,,383,388,5.0,1,10.1016/j.procs.2023.09.052,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179137338&doi=10.1016%2fj.procs.2023.09.052&partnerID=40&md5=b9fd629ebbaeabc5ad9298d933287e3a,"Wind energy is a clean, renewable and green energy. Compared to land-based wind power, offshore wind power does not occupy land resources. Meanwhile offshore wind resources is much richer and its wind direction is more stable. Meteorological hazards have a major impact on offshore wind facilities. Typhoons, lightning, rainstorms and other meteorological hazards that occur during operation can not only cause fatal damage to offshore wind facilities, but often also trigger a chain reaction of marine hazards, making them more difficult to maintain. In this paper, we analyze the impact of various types of meteorological hazards on offshore wind facilities with examples and select the most important ones. A comprehensive risk assessment model CVAR for offshore wind projects is developed in combination with other types of risk elements to predict the damaging of offshore wind facilities so that managers can respond in a timely manner. In addition, A nonlinear stepwise regression (NLSR) approach is then used to forecast the meteorological elements in offshore grid facilities. © 2023 Elsevier B.V.. All rights reserved.",conditional value at risk; meteorological hazard; offshore wind power grids,Offshore oil well production; Risk assessment; Storms; Value engineering; Weather forecasting; Clean energy; Conditional Value-at-Risk; Grid-based; Hazard risk assessments; Meteorological hazard; Off-shore wind power; Offshore wind power grid; Offshore winds; Renewable energies; Wind power grids; Hazards,Conference paper,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85179137338
Shi S.; Mao J.; Wang H.; Yang W.; Wen S.,"Shi, Shanshan (56102122700); Mao, Jun (59165987200); Wang, Haojing (56727809400); Yang, Wen (59166242000); Wen, Shuli (55542525000)",56102122700; 59165987200; 56727809400; 59166242000; 55542525000,Optimal Operation of a Multi-Energy Island Grid Integrated with a Hybrid LNG-Energy Storage System,2024,"Proceedings - 2024 9th Asia Conference on Power and Electrical Engineering, ACPEE 2024",,,,1808,1813,5.0,0,10.1109/ACPEE60788.2024.10532497,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195584182&doi=10.1109%2fACPEE60788.2024.10532497&partnerID=40&md5=ff7c776dec03d54c90f61c8db1828de0,"Integrated energy systems play a pivotal role in enhancing energy efficiency and attaining dual carbon goals. However, within the integrated energy system development realm, islands have garnered inadequate attention due to their unique geographical positioning. To improve the operational efficiency of an island power grid, the feasibility of connecting islands integrated with multi-energy systems using liquid natural gas (LNG) ships is explored. A novel multi-energy system model with LNG ships is proposed to minimize carbon emissions and enhance stability. Furthermore, the operation is optimized by the interior point method. To verify the proposed method, case studies are conducted on the natural conditions and load scenarios of Yancheng city in Jiangsu Province. The numerical results indicate that the economic costs and carbon emissions were significantly reduced in the LNG ship connected integrated energy system.  © 2024 IEEE.",interior point method; island power grid; LNG ship; Multi-energy system,Energy efficiency; Liquefied natural gas; Optimization; Ships; Carbon emissions; Integrated energy systems; Interior-point method; Island power grid; Liquid natural gas; Liquid natural gas ship; Multi energy; Multi-energy systems; Optimal operation; Power grids; Carbon,Conference paper,Final,,Scopus,2-s2.0-85195584182
Karbozov A.; Krishnamoorthy H.S.; Rajashekara K.,"Karbozov, Arnur (57212475788); Krishnamoorthy, Harish S. (55004636800); Rajashekara, Kaushik (7003689055)",57212475788; 55004636800; 7003689055,Modular Multiport Converter Based Offshore Grid Architecture for Integrating Renewables and HVDC Grid,2023,PEDG 2023 - 2023 IEEE 14th International Symposium on Power Electronics for Distributed Generation Systems,,,,111,116,5.0,1,10.1109/PEDG56097.2023.10215234,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167814455&doi=10.1109%2fPEDG56097.2023.10215234&partnerID=40&md5=efdc637482b89d1b7d071728a1840a00,"This paper proposes a novel offshore grid architecture that interconnects wind turbines, hybrid storage systems consisting of fuel cells, lithium-ion batteries, and an HVDC onshore grid to power subsea electrical loads. The proposed system utilizes Energy Router, which is based on modular structure of Multiport Active Bridge converters, eliminating the need for line frequency transformers and a common DC bus for energy sources. The paper highlights the advantages of the proposed architecture and presents power management control strategy to ensure reliable operation of the grid. © 2023 IEEE.",DC microgrid; HVDC architecture; Multiport converter; Offshore wind; renewables,DC transformers; DC-DC converters; Electric power system control; Electric power system interconnection; Fuel cells; Fuel storage; HVDC power transmission; Lithium-ion batteries; Offshore oil well production; Offshore wind farms; DC microgrid; Grid architectures; HVDC architecture; Microgrid; Modulars; Multi-port; Multiport converter; Offshore winds; Offshores; Renewables; Electric loads,Conference paper,Final,,Scopus,2-s2.0-85167814455
Lüth A.; Werner Y.; Egging-Bratseth R.; Kazempour J.,"Lüth, Alexandra (57203617655); Werner, Yannick (57668631900); Egging-Bratseth, Ruud (57220093341); Kazempour, Jalal (24758905900)",57203617655; 57668631900; 57220093341; 24758905900,Electrolysis as a flexibility resource on energy islands: The case of the North Sea,2024,Energy Policy,185,,113921,,,,4,10.1016/j.enpol.2023.113921,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180417951&doi=10.1016%2fj.enpol.2023.113921&partnerID=40&md5=0f041051cda9b7889d90c854994e4c48,"Energy islands are meant to facilitate offshore sector integration by combining offshore wind energy with power-to-x technologies and storage. In this study, we investigate the operation of electrolysers on energy islands, assess their potential contribution to flexibility provision, and analyse different market integration strategies of the islands. For this purpose, a two-stage stochastic optimisation model is developed to determine the cost-efficient dispatch for an integrated day-ahead and balancing electricity market. For the market integration of the energy island, we align our approach to the current debate and compare the case of a single offshore bidding zone to a case where the energy island is integrated into a home market zone. We find that electrolysers on energy islands will run at low capacity factors and provide flexibility in 29–36% of their run time. In addition, offshore electrolysers produce more hydrogen when they are allocated to an offshore bidding zone, and thus earn higher profits. We conclude that combining offshore wind with electrolysers on an energy island relies on additional economic incentives if their main role is envisioned to be the delivery of balancing flexibility. © 2023 The Author(s)",Bidding zones; Energy islands; Flexibility resources; Hydrogen; Offshore energy hub,Atlantic Ocean; North Sea; Electric load dispatching; Hydrogen production; Hydrogen storage; Integration; Offshore oil well production; Optimization; Power markets; Stochastic systems; Wind power; Bidding zone; Electrolysers; Energy; Energy hubs; Energy island; Flexibility resource; Market integration; Offshore energy; Offshore energy hub; Offshores; alternative energy; electricity supply; electrokinesis; energy market; energy resource; incentive; offshore structure; power generation; profitability; technology adoption; wind power; Stochastic models,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85180417951
Petersen M.; Andreae E.; You S.; Mortensen H.B.,"Petersen, M. (56244730600); Andreae, E. (58099410600); You, S. (35184633200); Mortensen, H.B. (58759494500)",56244730600; 58099410600; 35184633200; 58759494500,Towards a comprehensive understanding and assessment of Offshore Energy Hubs with a hydrogen focus: An evolutionary perspective,2023,Journal of Physics: Conference Series,2626,1,12071,,,,0,10.1088/1742-6596/2626/1/012071,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179547585&doi=10.1088%2f1742-6596%2f2626%2f1%2f012071&partnerID=40&md5=1e00ac42ce937f4de498d539d7eedc67,"Climate change has necessitated the reduction of CO2 emissions, particularly in hard-to-abate sectors. Offshore Energy Hubs (OEHs), powered by renewable sources, have been proposed as a potential solution for renewable build-out and cross-sectoral integration. This paper presents a comprehensive literature review examining the technical concept and assessment mechanisms of OEHs from multiple perspectives, including chronological, design, and assessment principles. The review reveals a shift in the technical concept and evaluation assessments, evolving from cost-driven to economically driven, with a trend towards harmonized assessments that incorporate both economic and societal values, such as environmental impact. The importance of societal assessments is emphasized, addressing a research gap, where further investigation is needed for a successful implementation of future large-scale OEH projects. The paper highlights the need to develop comprehensive and inclusive evaluation frameworks to ensure the sustainable implementation of OEHs for the ongoing energy transition. © Published under licence by IOP Publishing Ltd.",,Climate change; Economic and social effects; Hydrogen; Offshore oil well production; % reductions; Assessment mechanism; CO2 emissions; Energy hubs; Evolutionary perspective; Literature reviews; Multiple perspectives; Offshore energy; Renewable sources; Research gaps; Environmental impact,Conference paper,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85179547585
Lüth A.; Keles D.,"Lüth, Alexandra (57203617655); Keles, Dogan (24512007000)",57203617655; 24512007000,"Risks, strategies, and benefits of offshore energy hubs: A literature-based survey",2024,Renewable and Sustainable Energy Reviews,203,,114761,,,,1,10.1016/j.rser.2024.114761,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199999799&doi=10.1016%2fj.rser.2024.114761&partnerID=40&md5=17141410238bc8c274183265a7393c92,"Offshore Energy Hubs, also called Energy Islands, are intensively discussed to become a key element in the process of decarbonising the energy sector. The vision of implementing Offshore Energy Hubs in the context of exploiting offshore wind potentials in Northern Europe is led by industry and has quickly taken up a spot in the political discussion on national and European level. This research develops a survey scheme inspired by multi-criteria analysis to assess the main drivers in the development of Offshore Energy Hubs. We propose a definition, present the scheme, and conduct a survey based on the scheme for the case of the North Sea offshore energy infrastructure. Applying the suggested survey method to the context of the North Sea, we identify five trade-offs to be considered. The significance of the environmental benefits is strongly linked to the choice of materials and designs; changes to current assumptions may flip the system's benefits and turn the project into a series of sunk investments; coordinated and integrated planning is key to boosting the project's efficiency; offshore energy infrastructure presents a technological solution to energy system decarbonisation and needs to touch base with societal desires and behavioural solutions; and Offshore Energy Hubs are currently standalone solutions with no competitors, which makes their benefits impossible to compare. © 2024 The Authors",Energy islands; Energy strategy; Offshore energy hubs; Offshore wind; Project assessment; Review,Economic and social effects; Energy policy; Offshore oil well production; Risk assessment; Energy; Energy hubs; Energy infrastructures; Energy island; Energy strategy; North Sea; Offshore energy; Offshore energy hub; Offshore winds; Project assessment; Investments,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85199999799
Gran B.A.; Esnoul C.; Wind J.; Vie P.J.S.; Lian T.,"Gran, Bjorn Axel (7004074503); Esnoul, Coralie (57191443813); Wind, Julia (56992680700); Vie, Preben J.S. (9740718700); Lian, Torleif (11940415100)",7004074503; 57191443813; 56992680700; 9740718700; 11940415100,Safety and security impacts on integrated use of Li-On batteries in an energy island,2021,"2021 IEEE PES/IAS PowerAfrica, PowerAfrica 2021",,,,,,,0,10.1109/PowerAfrica52236.2021.9543384,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116612207&doi=10.1109%2fPowerAfrica52236.2021.9543384&partnerID=40&md5=9733f17df9ef93cadea5fad03a57ba15,"Batteries are central for Energy Islands as they provide a local energy storage by enabling reduction of the overall environmental footprint of energy consumption and helping to reach a CO2 neutral balance. The role of batteries in the E-LAND project is to locally store green energy, use energy efficiently, and to reduce peak loads with energy storage systems. However, to do this effectively installation and use of battery require considerations with respect to both safety and security. This paper elaborates on the project's safety and security challenges when the Li-on management system is integrated with other systems. © 2021 IEEE.",Batteries; Energy storage; Safety; Security,Electric batteries; Energy utilization; Landforms; % reductions; CO2 neutral; Energy; Energy-consumption; Environmental footprints; Green energy; Integrated use; Local energy; Safety and securities; Security; Energy storage,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85116612207
Gontijo G.F.; Bakhshizadeh M.K.; Kocewiak L.H.; Teodorescu R.,"Gontijo, Gustavo F. (57189643059); Bakhshizadeh, Mohammad Kazem (37664324600); Kocewiak, Lukasz Hubert (36699835400); Teodorescu, Remus (7003748060)",57189643059; 37664324600; 36699835400; 7003748060,State Space Modeling of an Offshore Wind Power Plant With an MMC-HVDC Connection for an Eigenvalue-Based Stability Analysis,2022,IEEE Access,10,,,82844,82869,25.0,14,10.1109/ACCESS.2022.3196368,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135741089&doi=10.1109%2fACCESS.2022.3196368&partnerID=40&md5=24114fb8b20024db4bdaa15a1d4bb434,"Large offshore wind power plants (OWPPs) installed far from the coastline are emerging to benefit from the strong and steady wind resources available at these locations. The high-voltage direct-current (HVDC) transmission system based on the modular multilevel converter (MMC) is the most appropriate solution to transmit the produced energy to the onshore grid, in a way that a complex power-electronic-based electrical system is formed at the OWPP. Undesired interactions can occur between the MMC-based HVDC station, the several wind-turbine (WT) converters, and the passive elements of the offshore grid. To guarantee a safe and reliable operation of the OWPP, a small-signal analysis must be performed in advance to predict possible unstable situations and their root causes, in a way as to take corrective measures to avoid them. In this paper, a state-space model of an OWPP is developed adopting a recently proposed model in multiple dq frames of the MMC, which considers the internal dynamics of the converter. With the developed model, an eigenvalue-based stability assessment is carried out, where participation factors are calculated to identify the main contributors to the unstable modes that appear as a consequence of undesired low-frequency interactions at the offshore grid. As far as the authors know, an eigenvalue-based stability assessment of an OWPP with an MMC-HVDC connection is a topic rarely or never explored in the literature before since a detailed time-invariant state-space model of the MMC was not available until recently. Thus, the eigenvalue-based stability study is the main contribution of this paper. The developed model can easily be extended to more complex OWPPs with different configurations in future works. Another contribution of this paper is the proposal of an adaptation to the MMC's grid-following state-space model so that the converter's dynamics in grid-forming mode can be represented. Finally, various studies are presented to prove that the adopted MMC's approximated model is accurate enough for small-signal stability analyses. © 2013 IEEE.",HVDC transmission system; modular multilevel converter; offshore wind power plant; Power-electronic-based power system; small-signal stability analysis,Eigenvalues and eigenfunctions; Electric power generation; Offshore wind farms; Power converters; Power electronics; State space methods; Wind turbines; Active appearance models; Direct current transmissions; High-Voltage Direct Current; High-voltage direct-current transmission; High-voltage direct-current transmission systems; Modular multilevel converter; Modulars; Multilevel converter; Offshore wind power plants; Power; Power systems stability; Power-electronic-based power system; Power-electronics; Small signal stability analysis; Stability analyze; Wind power generation; HVDC power transmission,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85135741089
Kiktev N.; Osypenko V.; Kalivoshko O.; Kutyrev A.,"Kiktev, Nikolay (57195126012); Osypenko, Volodymyr (57189090865); Kalivoshko, Oleksii (57216490528); Kutyrev, Alexey (57206770758)",57195126012; 57189090865; 57216490528; 57206770758,Information system for decision-making in the management of renewable energy sources in the microgrid system,2021,CEUR Workshop Proceedings,3018,,,101,110,9.0,5,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120985735&partnerID=40&md5=8753b4fdb6980f72768622c6d2b51ca2,"The researches of scenarios of dynamic energy management in local Microgrid networks, the mathematical instruments which a used for realization of algorithms are carried out. Various elements of the intelligent system of cost-effective scheduling of energy islands with a photovoltaic source, as well as the mechanisms of electricity price formation using different generation sources in Microgrid systems are analyzed. The analysis of the architecture of information systems and software in the management of renewable electricity systems are carried out as well. The algorithm and software interface of the decision-making information system for managing alternative energy sources are developed. The design of a database and software that calculates the efficient distribution of energy to the user, forecasts the efficiency of certain energy sources, building in real-time graphs is described. © 2021 Copyright for this paper by its authors.",Alternative sources; Database; Decision making; Effective management; Electricity; Forecasting; Information system,Cost effectiveness; Energy efficiency; Energy management; Energy management systems; Forecasting; Information management; Information systems; Information use; Intelligent systems; Renewable energy resources; Alternative source; Cost effective; Decisions makings; Dynamic energy managements; Effective management; Energy; Microgrid; Microgrid systems; Photovoltaic sources; Renewable energy source; Decision making,Conference paper,Final,,Scopus,2-s2.0-85120985735
Vrzala M.; Goňo M.; Goňo R.; Kotulla M.; Wzorek M.; Leonowicz Z.,"Vrzala, Matouš (57210358556); Goňo, Miroslava (36350661100); Goňo, Radomír (23392385900); Kotulla, Michal (57210361781); Wzorek, Małgorzata (26023876400); Leonowicz, Zbigniew (6602973655)",57210358556; 36350661100; 23392385900; 57210361781; 26023876400; 6602973655,Distributed Generation Power Systems in Wastewater Management †,2022,Energies,15,17,6283,,,,14,10.3390/en15176283,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137807489&doi=10.3390%2fen15176283&partnerID=40&md5=9a67b4cd8bdcdd0adb4ed51f088499eb,"The article concerns the energy security of a wastewater treatment process caused by unforeseen situations related to the risk of electrical power outages. In this case, renewable energy sources based on distributed generation power systems can solve this problem in each wastewater treatment plant. The article highlights e related challenges and proposes the direction of solutions in this regard based on Czech conditions. The first part of the paper deals with the consequences of long-term outage of wastewater treatment plants on the population and the environment. There are several solutions presented for blackout conditions, and model calculations are made based on data from a Czech wastewater treatment plant. Diesel engine-generators, biogas as a cogeneration source of heat and electricity, solar panels with storage systems and combined biogas and solar systems were considered as approaches to provide energy autonomy during a blackout in a wastewater treatment plant. Special attention was paid to a combination of CHP units with solar panels and batteries. The results were evaluated for three different locations for this combination. It was concluded that biogas combustion in the CHP unit was the most profitable option, allowing the production of electricity independently of the grid for its own consumption and possibly for other operations. The last part of the paper deals with the transition to island operation, which must occur during a blackout. This transition is more difficult for both solar panels and cogeneration units if they were to supply electricity to the grid before a blackout. The transition to energy island operation could be ensured by frequency relay and processor devices to control the circuit breaker. Then, to maintain island operation, it would be necessary to have an automatic load shedding/application system. © 2022 by the authors.",blackout; distributed generation; island operation; renewable energy; wastewater treatment,Biogas; Cogeneration plants; Digital storage; Distributed power generation; Electric power transmission networks; Energy security; Outages; Reclamation; Renewable energy resources; Sewage pumping plants; Solar panels; Solar power generation; Water treatment plants; Blackout; CHP units; Distributed generation power systems; Electrical power; Island operation; Renewable energies; Solar panels; Waste water treatment plants; Wastewater management; Wastewater treatment process; Wastewater treatment,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85137807489
Nazir M.; Enslin J.H.; Hines E.; McCalley J.D.; Lof P.-A.; Garnick B.K.,"Nazir, Moazzam (57210927519); Enslin, Johan H. (7006333781); Hines, Eric (12243063200); McCalley, James D. (7003961857); Lof, Per-Anders (6506932696); Garnick, Barbara K. (58065543700)",57210927519; 7006333781; 12243063200; 7003961857; 6506932696; 58065543700,Multi-terminal HVDC Grid Topology for large Scale Integration of Offshore Wind on the U.S Atlantic Coast,2022,"2022 7th IEEE Workshop on the Electronic Grid, eGRID 2022",,,,,,,2,10.1109/eGRID57376.2022.9990011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146261831&doi=10.1109%2feGRID57376.2022.9990011&partnerID=40&md5=4e804b348986fb8a704be802419a6e4f,"Amid rising concerns regarding dearth of fossil fuels and global climate change, different nations across the globe have set forth vigorous targets for renewable integration and corresponding power network development/upgradation. One of the most significant renewable resources is offshore wind (OSW) power that bears the capability to resolve the above discuss challenges, if developed properly. This paper is dedicated towards planned offshore grid development in the U.S. Atlantic Coast to integrate existing/future OSW wind power projects to the onshore grid. It proposes a modular multi-terminal HVDC (MTDC) network for large scale integration of OSW power. It addresses the associated challenges and provides a way forward for the realization of the planned offshore grid. This paper could provide an initial guideline for electric utilities, regulators, and government departments to accrue maximum benefit from the enormous OSW resource in the U.S.  © 2022 IEEE.",MTDC; Offshore Wind (OSW); Transmission Expansion Planning (TEP); VSC-HVDC,Climate change; Electric utilities; Fossil fuels; HVDC power transmission; Integration; Offshore oil well production; Wind power; Atlantic coasts; Grid topology; Multi-terminal HVDC; Off-shore wind power; Offshore wind; Offshore winds; Offshores; Transmission expansion planning; Transmission expansion-planning; VSC-HVDC; Electric power transmission networks,Conference paper,Final,,Scopus,2-s2.0-85146261831
Martin B.; Okamura S.; Yasunaga T.; Ikegami Y.; Ota N.,"Martin, Benjamin (57194013191); Okamura, Shin (57194006708); Yasunaga, Takeshi (36781127400); Ikegami, Yasuyuki (7103189998); Ota, Naoki (57734753800)",57194013191; 57194006708; 36781127400; 7103189998; 57734753800,OTEC and Advanced Deep Ocean Water Use for Kumejima: An Introduction,2022,Oceans Conference Record (IEEE),,,,,,,1,10.1109/OCEANSChennai45887.2022.9775240,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131693712&doi=10.1109%2fOCEANSChennai45887.2022.9775240&partnerID=40&md5=127e259e229fa84ff1338e6c97add51a,"Interconnected Ocean Thermal Energy Conversion (OTEC) and deep ocean water (DOW) industries provide coastal and island communities the opportunity for economic, social, and environmental development. Combining existing experience in OTEC operation and DOW industries with a 100% renewable energy island outlook, the ""Kumejima Model""is an efficient use of local sustainable resources to meet community needs for energy, food, and water. This paper will share background and progress toward implementation in light of growing need for island-type renewable energy. © 2022 IEEE.",Deep Ocean Water; Kumejima; Kumejima Model; Ocean Energy; Ocean Thermal Energy Conversion; OTEC,Ocean thermal energy conversion; Oceanography; Deep ocean water; Economic development; Kumejima; Kumejima model; Ocean energy; Renewable energies; Social and environmental; Social development; Water industries; Water use; Thermal energy,Conference paper,Final,,Scopus,2-s2.0-85131693712
