Topic,Words
Topic 0,og island til med det cabl bioga water på er
Topic 1,cool comput ga note energi wind co2 data grid electr
Topic 2,island gw wind environ cabl impact water approv side sea
Topic 3,energi wind hydrogen offshor green countri electr new island turbin
Topic 4,applic member bioga give hydrogen releas jan billion doubl 000
Topic 5,ship energi step fuel port island methanol green electr project
Topic 6,project energi wind bornholm door open offshor politician state sea
Topic 7,electr energi cabl solar island norway grid wind billion develop
Topic 8,island energi project sea billion wind energiø dkk bornholm offshor
Topic 9,hydrogen energi wind ptx materi green agreement say also offshor
