Topic,Words
Topic 0,energi island wind offshor sea gw project govern also say
Topic 1,nu port area wind futur scheme complex heat bornholm tender
Topic 2,island energi offshor platform wind siger rather appoint understand data
Topic 3,hydrogen energi island green wind electrolysi electr sweden sea fuel
Topic 4,energi sea big project island north climat energiø wind get
Topic 5,port og til på area assess inden power larg transform
Topic 6,og af en energinet plant artifici det energi til connect
Topic 7,billion energi electr new wind area suppli agreement island negoti
Topic 8,wind stop climat reduct energi 2030 green heat plan final
Topic 9,energi wind project offshor dkk say island electr new connect
